,lat,lon,city,country_code,city_lat,city_lon,city_temperature,city_humidity,city_windspeed,city_clouds,city_temp_max,date,sunrise
29201,51.87529055926643,54.77014899468733,Kargala,RU,56.62,83.96,10.82,73,6.17,12,10.82,1522777780,1522712861
29203,36.39927796228491,40.44673569750418,Mardin,TR,37.32,40.72,59,31,6.93,0,59,1522774800,1522724347
29211,37.5017365819302,53.21209942866059,Neka,IR,36.65,53.3,57.2,82,9.17,90,57.2,1522774800,1522721357
29216,25.826126937012702,89.07093813939701,Badarganj,BD,25.68,89.06,68.96,88,2.71,8,68.96,1522777789,1522713159
29227,6.605049902263573,13.266456471522304,Tibati,CM,6.47,12.63,77.69,63,8.41,44,77.69,1522777781,1522732002
29237,37.77826901882142,20.334874605453294,Argostolion,GR,38.18,20.49,61.56,67,4.38,0,62.6,1522774200,1522729162
29247,45.75219039122857,30.025809047117377,Kulevcha,UA,46.03,29.93,47.99,71,10.87,44,47.99,1522777781,1522726529
29262,23.52739047245973,80.64250218268353,Chandia,IN,23.65,80.7,74.18,38,8.52,0,74.18,1522777781,1522715224
29278,68.01370393032843,33.277003889440095,Olenegorsk,RU,68.14,33.28,28.91,90,3.15,88,28.91,1522777781,1522723492
29344,-15.805400595981212,-69.44197397087864,Putina,PE,-14.91,-69.87,60.8,36,2.24,40,60.8,1522774800,1522752307
29363,39.45685146365983,-83.33185118829657,Chillicothe,US,39.33,-82.98,52.25,100,9.17,90,53.6,1522776420,1522753919
29364,-24.128442622735662,16.063788105367465,Maltahohe,NA,-24.83,16.98,71.39,34,4.61,92,71.39,1522777782,1522731712
29393,7.880510000645074,75.11153583128436,Kollam,IN,8.88,76.6,82.4,78,3.36,20,82.4,1522776600,1522716597
29419,-14.190777120186397,34.0460200351891,Lilongwe,MW,-13.97,33.79,66.17,89,6.96,20,66.17,1522777783,1522727404
29430,8.98370325910173,20.02840401529211,Ndele,CF,8.41,20.65,89.84,52,3.27,80,89.84,1522777792,1522730031
29432,-4.253803973005802,18.596783406863267,Bulungu,CD,-4.54,18.6,73.01,93,2.82,88,73.01,1522777783,1522730829
29444,51.71196534239721,12.280466649108504,Wolfen,DE,51.66,12.27,60.8,51,3.36,0,60.8,1522776000,1522730420
29446,62.436852034760705,34.73960180176199,Povenets,RU,62.85,34.83,30.17,87,15.23,88,30.17,1522777793,1522723968
29483,69.14795324440817,29.090369419189003,Bjornevatn,NO,69.67,29.98,30.2,86,13.87,75,30.2,1522776000,1522723955
29486,5.332026213664193,12.130177116638166,Nanga Eboko,CM,4.68,12.37,78.68,69,6.73,76,78.68,1522777793,1522732108
29489,53.422537603989696,33.80671948466667,Rzhanitsa,RU,53.43,33.92,27.92,81,3.71,0,27.92,1522777793,1522725106
29509,-8.326118579787845,-35.714026514180745,Camocim De Sao Felix,BR,-8.36,-35.76,78.59,80,8.19,56,78.59,1522777794,1522743964
29550,49.53820643275009,84.0608934036429,Zyryanovsk,KZ,49.74,84.27,17.21,56,4.16,0,17.21,1522777794,1522713291
29561,51.89404866760651,-9.084787880981679,Macroom,IE,51.91,-8.96,48.2,87,10.29,75,48.2,1522776600,1522735490
29579,-21.737300106288814,-53.91934088105566,Rio Brilhante,BR,-21.8,-54.54,84.89,74,4.5,12,84.89,1522777786,1522748801
29591,54.70653225939671,27.033368993284952,Pastavy,BY,55.11,26.84,41.06,88,5.39,88,41.06,1522777795,1522726672
29595,42.176720543603494,-70.92490920043943,Weymouth,US,42.22,-70.94,44.15,71,10.29,90,50,1522776540,1522750901
29631,-8.856711032505928,-69.47132762522423,Manoel Urbano,BR,-8.84,-69.26,80.39,91,2.71,32,80.39,1522777795,1522752015
29635,39.53499834984049,26.36482685363272,Mantamados,GR,39.31,26.33,59,58,3.36,0,59,1522776000,1522727714
29654,8.679330521620784,13.1314137984983,Poli,CM,8.48,13.24,85.97,24,3.94,0,85.97,1522777787,1522731807
29674,-21.316877510635152,-59.18242236116605,Fuerte Olimpo,PY,-21.04,-57.87,88.04,73,4.72,0,88.04,1522777788,1522749581
29680,57.71067533900728,31.008349636203192,Poddorye,RU,57.47,31.12,32.24,63,9.75,12,32.24,1522777788,1522725443
29682,40.388119990913935,-88.61307404654782,Bloomington,US,40.47,-88.99,45.63,100,6.93,90,50,1522775700,1522755309
29704,27.361119004720308,78.18400000997235,Itimadpur,IN,27.25,78.2,76.79,53,10.76,56,76.79,1522777728,1522715715
29717,-22.486292748261945,-50.237555808267004,Assis,BR,-22.66,-50.42,81.38,75,5.95,24,81.38,1522777788,1522747835
29754,4.869371510668259,18.620958421132585,Damara,CF,4.96,18.7,87.8,66,3.36,0,87.8,1522774800,1522730582
29780,10.24019402826815,-10.099240770206222,Kouroussa,GN,10.65,-9.88,97.31,24,6.62,0,97.31,1522777797,1522737300
29781,-2.898012190441108,30.38457345201644,Muyinga,BI,-2.85,30.34,61.94,97,2.93,68,61.94,1522777670,1522727972
29786,-18.608582224962475,-65.14691680694455,Aiquile,BO,-18.2,-65.18,62.3,82,3.38,48,62.3,1522777797,1522751263
29796,46.66340468841048,12.654567698272842,Lienz,AT,46.83,12.77,44.6,70,1.59,75,44.6,1522774500,1522730598
29819,0.2717379978164729,-55.73722567208044,Oriximina,BR,-1.77,-55.87,75.44,100,4.05,92,75.44,1522777789,1522748634
29843,46.67979716422448,-77.20219658983731,Deep River,CA,46.1,-77.49,39.2,51,3.36,75,39.2,1522774800,1522752272
29859,36.69399015652402,9.451845214870204,Tastur,TN,36.55,9.44,70.66,68,8.3,40,71.6,1522774800,1522731877
